Jumlah Mahasiswa Baru PTN Vs PTS																					
Periode 2014-2025																					
"PTNBH tumbuh hingga empat kali lipat dalam satu dekade; rata-rata PTS justru stagnan dan menurun."																					
																					
Tahun	IPB	ITB	ITS	UNAIR	UNAND	UB	UNDIP	UGM	UNHAS	UI	UNJ	UM	UNP	UNNES	UNESA	UNY	UNPAD	UPI	UNS	UNSRI	USK
2014	3410	3308	4089	5381	3714	11163	6957	7429	4588	6806	3950	5709	4966	6477	4955	4659	5017	6086	5853	5952	4192
2015	3432	3580	3962	5233	3698	12768	7004	7302	5096	6711	4314	6079	5589	5876	5004	4500	5542	6324	5655	2479	4611
2016	3595	3855	3895	5159	3893	12171	6705	6707	4976	6969	3996	6116	6308	6020	4900	4848	6402	6719	5962	6162	4328
2017	3710	3874	3704	5008	3772	10250	8145	6173	5287	6849	4640	5852	8211	6187	5325	4817	6127	6317	6665	6536	4540
2018	3698	4029	3796	4912	4136	10177	8404	7711	6152	6939	3726	5662	7812	6856	5332	4951	6603	7149	6121	6506	5242
2019	3798	4375	4743	5197	4323	13354	10624	8273	6074	7824	3992	5889	8041	7046	6039	6519	6159	8554	7127	6828	5973
2020	4328	4038	5346	5530	5549	13684	11444	8963	6830	7366	4659	5874	7442	7895	5861	7331	6116	9167	7348	6739	6802
2021	4207	4191	5142	6188	6083	14386	11786	8958	7085	7497	4893	5966	8498	9306	6076	8984	6270	8802	7859	6924	6316
2022	6643	4854	5912	7047	6759	14527	11794	9531	7502	8315	6153	7909	8987	10049	10252	8363	7161	9449	8679	7231	6175
2023	6939	4841	6281	7713	6580	14486	12706	9891	8703	8512	5560	7346	8262	9992	19191	8814	6675	9862	8563	7417	6008
2024	7737	4644	6578	7930	6557	14174	13153	10661	9234	8640	8095	9267	10475	11047	16423	9046	8106	10452	9250	7637	7427
2025	8391	4958	6934	8779	7094	16135	14890	10591	10493	8912	10288	12087	11004	10836	20175	10629	9657	11788	9800	8483	7817
																					
Sumber: Kemendiktisaintek • Diolah: Kompas/EKI/FAI/SPW. Hanya mahasiswa S1 dan D4/sarjana terapan.																					
																					
Keterangan status PTNBH: ITB, IPB, UGM, UI sejak 2013. UPI, USU, UNAIR sejak 2014. UNPAD, UNDIP, UNHAS, ITS 2015. UNS sejak 2020. UNAND UB, UNP, UM sejak 2021. UNY, UNNES, UNESA, USK sejak 2022. UNJ dan UNSRI sejak 2024.																					
